id,autor,conteudo,data,reacoes,tem_anexo,menciona_alguem,mentioned_users,reply_to_id,message_length
1491618079627546675,carrocho,[IMAGEM: image.png],2026-04-08 22:57:43,0,True,False,,,0
1491592038699766001,haniel.,quero sex exatamente assim,2026-04-08 21:14:14,0,False,True,pdrohd,1.4915649620643676e+18,26
1491591505528230070,bolinouli,wesley,2026-04-08 21:12:07,0,True,False,,,6
1491566157604458576,carrocho,alguem acorda o daniel ae kkkkkkkkkkk,2026-04-08 19:31:23,0,False,False,,,37
1491564962064367626,pdrohd,[VIDEO: shitpost_2077_1921800003095527464320P.mp4],2026-04-08 19:26:38,0,True,False,,,0
1491563838561193985,pdrohd,https://tenor.com/view/omega-dodges-ffxiv-omega-ffxiv-dodges-gif-4866007353408768162,2026-04-08 19:22:11,0,False,False,,,84
1491563229204320256,pdrohd,[VIDEO: Unconfirmed_download_https___x.com_Fejokkkk_status_1982037863152685552720P.mp4],2026-04-08 19:19:45,0,True,False,,,0
1491562270214455368,pdrohd,https://tenor.com/view/buzz-lightyear-toy-story-to-infinity-and-beyond-i-love-you-to-infinity-and-beyond-no-sign-of-intelligent-life-gif-5140930768280843620,2026-04-08 19:15:57,0,False,False,,,156
1491562181496541304,wesleydsg,https://tenor.com/view/supakuntgif-gorilla-slide-gif-26379182,2026-04-08 19:15:35,0,False,False,,,61
1488335292338278620,bolinouli,eu deixei ele como adm,2026-03-30 21:33:05,0,False,False,,,22
1488335231697158186,bolinouli,fsjdfhksljdfjkla,2026-03-30 21:32:51,0,False,False,,,16
1488329482673848384,wesleydsg,esquizofrenico falando sozinho,2026-03-30 21:10:00,0,False,False,,,30
1488329455041511577,wesleydsg,o servidor q ele colocou é um q so tem ele,2026-03-30 21:09:53,0,False,False,,,42
1488329416055718120,wesleydsg,ele disse q quer sim,2026-03-30 21:09:44,0,False,False,,,20
1488329399496605736,wesleydsg,caraa,2026-03-30 21:09:40,0,False,True,bolinouli,1.4883287614632755e+18,5
1488328761463275520,bolinouli,ent o daniel n vai ser <@&1314669029369188403> mais,2026-03-30 21:07:08,5,False,False,,,51
1488328716106076241,bolinouli,a,2026-03-30 21:06:57,0,False,False,,,1
1488328707398565959,wesleydsg,ta dboa,2026-03-30 21:06:55,0,False,False,,,7
1488328692651266188,wesleydsg,ja arrumamo outro server ja,2026-03-30 21:06:52,0,False,False,,,27
1488328627266523207,bolinouli,vo pensa,2026-03-30 21:06:36,0,False,False,,,8
1488326752341332172,wesleydsg,so pra gente testar um bot pro trabalho do Vinicius garfus,2026-03-30 20:59:09,0,False,False,,,58
1488326668895518811,wesleydsg,da permissao de admininastro pro Daniel pls,2026-03-30 20:58:49,0,False,False,,,43
1488326604022223112,wesleydsg,<@349347400755707904>,2026-03-30 20:58:34,0,False,True,bolinouli,,21
1487954315829051422,wesleydsg,KKKKKKKKKKKk,2026-03-29 20:19:13,0,False,False,,,12
1487954310414205060,wesleydsg,doq mentir assim ne,2026-03-29 20:19:12,0,False,False,,,19
1487954290604642375,wesleydsg,antes ele falar q n gosta de vc,2026-03-29 20:19:07,0,False,False,,,31
1487954270052421784,wesleydsg,krl,2026-03-29 20:19:02,0,False,False,,,3
1487951928968089671,davijannotti,8 da noite,2026-03-29 20:09:44,0,False,False,,,10
1487949472234213597,daniilago,fui de mimis <@321437043135873024> my bad,2026-03-29 19:59:58,0,False,True,davijannotti,,41
1487919963141443585,daniilago,nice,2026-03-29 18:02:43,0,False,False,,,4
1487919946305503314,carrocho,violino,2026-03-29 18:02:39,0,False,False,,,7
1487919924067172392,daniilago,treinar oq?,2026-03-29 18:02:34,0,False,False,,,11
1487919886654246913,carrocho,vou treinar,2026-03-29 18:02:25,0,False,False,,,11
1487919693728846056,daniilago,where is everybody '-',2026-03-29 18:01:39,0,False,False,,,22
1487919018588504296,wesleydsg,KKKKKKKKKKKKKKKKKKKKKk,2026-03-29 17:58:58,0,False,False,,,22
1487913375366123520,carrocho,[IMAGEM: image.png],2026-03-29 17:36:32,0,True,False,,,0
1487913252292661430,carrocho,[IMAGEM: image.png],2026-03-29 17:36:03,0,True,False,,,0
1487902883579170876,carrocho,<@395698445924433931> volta ae,2026-03-29 16:54:51,0,False,True,daniilago,,30
1487860662867595374,carrocho,$$$,2026-03-29 14:07:05,0,False,False,,,3
1487860631380955166,carrocho,$ $ $,2026-03-29 14:06:57,0,False,False,,,5
1486870421793144844,carrocho,[IMAGEM: image.png],2026-03-26 20:32:13,0,True,False,,,0
1486852915225428198,pdrohd,puts,2026-03-26 19:22:39,0,False,False,,,4
1486851854481752065,bolinouli,D:,2026-03-26 19:18:26,0,False,False,,,2
1486850490393428099,amorsurreal.,to chateado contigo 😡,2026-03-26 19:13:01,0,False,False,,,21
1486849017240359053,bolinouli,hoji tem? <@1225618468754165846> <@1411035179811602532> <@321437043135873024> <@516666578557730849>,2026-03-26 19:07:10,1,False,True,"davijannotti,vinilicia,amorsurreal.,carrocho",,99
1486475599538032791,pdrohd,vc adquiriu ontem,2026-03-25 18:23:20,0,False,False,,,17
1486475583436099746,pdrohd,entendii,2026-03-25 18:23:16,0,False,True,haniel.,1.4864754506069484e+18,8
1486475450606948404,haniel.,veio aqui em casa ontem,2026-03-25 18:22:44,1,False,False,,,23
1486475406520488079,haniel.,o minifelps,2026-03-25 18:22:34,0,False,False,,,11
1486475388757737503,haniel.,lembrando que,2026-03-25 18:22:30,0,False,False,,,13
1486371144834744321,bolinouli,momento das revelações,2026-03-25 11:28:16,0,False,True,haniel.,1.4861699181340262e+18,22
1486199392980434944,pdrohd,é,2026-03-25 00:05:47,0,False,True,haniel.,1.4861699181340262e+18,1
1486169918134026332,haniel.,sou gay guys,2026-03-24 22:08:40,0,False,False,,,12
1485432387231027351,carrocho,<@395698445924433931>,2026-03-22 21:17:59,0,True,True,daniilago,,21
1483276953879576648,bolinouli,[IMAGEM: image.png],2026-03-16 22:33:03,0,True,False,,,0
1483276636009795827,bolinouli,[IMAGEM: image.png],2026-03-16 22:31:47,0,True,False,,,0
1483271825801744405,bolinouli,[IMAGEM: image.png],2026-03-16 22:12:41,0,True,False,,,0
1483271686077026427,carrocho,[IMAGEM: image.png],2026-03-16 22:12:07,0,True,False,,,0
1483262386357145611,daniilago,urgente,2026-03-16 21:35:10,0,False,False,,,7
1483262379151196321,daniilago,<@1225618468754165846> volte,2026-03-16 21:35:08,0,False,True,carrocho,,28
1483260143184515173,carrocho,[IMAGEM: image.png],2026-03-16 21:26:15,0,True,False,,,0
1483244712210075818,carrocho,<@349347400755707904>,2026-03-16 20:24:56,0,False,True,bolinouli,,21
1482903314906611803,bolinouli,"> Makin' my way downtown, walkin' fast
> Faces pass and I'm homebound
> Starin' blankly ahead, just makin' my way
> Makin' a way through the crowd",2026-03-15 21:48:21,0,False,False,,,146
1482902567729234010,wesleydsg,"```
def t_IDENTIFIER(t):
    r'[a-zA-Z_][a-zA-Z0-9_]*'
    if t.value in reserved_words:
        t.type = 'RESERVED_WORD'
    return t
```",2026-03-15 21:45:23,0,False,False,,,138
1482902550796701857,bolinouli,"> a
> a",2026-03-15 21:45:19,0,False,False,,,7
1482902522682278089,bolinouli,`a`,2026-03-15 21:45:12,0,False,False,,,3
1482902458341523670,bolinouli,"```
a
```",2026-03-15 21:44:57,0,False,False,,,9
1482902173565063359,wesleydsg,"def t_IDENTIFIER(t):
    r'[a-zA-Z_][a-zA-Z0-9_]*'
    if t.value in reserved_words:
        t.type = 'RESERVED_WORD'
    return t",2026-03-15 21:43:49,0,False,False,,,130
1482881146923651093,daniilago,https://www.dabeaz.com/ply/ply.html#ply_nn0,2026-03-15 20:20:16,0,False,False,,,43
1482872477188231179,wesleydsg,[IMAGEM: 20260311_164050.jpg],2026-03-15 19:45:49,0,True,False,,,0
1481465197699793169,daniilago,inventario do <@319269827690627072>,2026-03-11 22:33:47,0,False,True,wesleydsg,,35
1481465176728539177,daniilago,[IMAGEM: image.png],2026-03-11 22:33:42,0,True,False,,,0
1480346525912666172,wesleydsg,safe,2026-03-08 20:28:35,0,False,False,,,4
1480337874904944782,haniel.,pois sou novo,2026-03-08 19:54:12,0,False,False,,,13
1480337861852135444,haniel.,padrão ent,2026-03-08 19:54:09,0,False,False,,,10
1480337838502580504,haniel.,os games,2026-03-08 19:54:04,0,False,False,,,8
1480337830646382733,haniel.,vou começar,2026-03-08 19:54:02,0,False,False,,,11
1480337787579531325,haniel.,doido dms,2026-03-08 19:53:51,0,False,False,,,9
1480337775122186390,haniel.,omg,2026-03-08 19:53:48,0,False,False,,,3
1480330964742701098,wesleydsg,ela ta ai no re2 procurando o irmao dela q somio,2026-03-08 19:26:45,0,False,False,,,48
1480330889421389835,wesleydsg,isso isso,2026-03-08 19:26:27,0,False,False,,,9
1480330102934994966,haniel.,omg,2026-03-08 19:23:19,0,False,False,,,3
1480330052511207495,haniel.,redfield,2026-03-08 19:23:07,0,False,False,,,8
1480330044780969985,haniel.,é irmã do cris?,2026-03-08 19:23:05,0,False,False,,,15
1480330029014450239,haniel.,a claire,2026-03-08 19:23:02,0,False,False,,,8
1480330020114272390,haniel.,calma,2026-03-08 19:22:59,0,False,False,,,5
1480329624989728860,haniel.,tendeu,2026-03-08 19:21:25,0,False,False,,,6
1480328942782251111,wesleydsg,mas da Claire tem umas partes bem foda tbm,2026-03-08 19:18:43,0,False,False,,,42
1480328870199558187,wesleydsg,eu recomendo começar de Leon por motivos q Leon,2026-03-08 19:18:25,0,False,False,,,47
1480328728843124768,wesleydsg,pq os 2 tao sempre se esbarrando,2026-03-08 19:17:52,0,False,False,,,32
1480328700359741481,wesleydsg,no RE 2 ia alternar quase toda hora,2026-03-08 19:17:45,0,False,False,,,35
1480328629589115101,wesleydsg,"é o prazo da Jill ficar no hospital, vc joga com ele",2026-03-08 19:17:28,0,False,False,,,52
1480328624950214817,haniel.,pensava que fica alternando o game todo,2026-03-08 19:17:27,0,False,False,,,39
1480328586987573349,haniel.,carai que loucura,2026-03-08 19:17:18,0,False,False,,,17
1480328586152902841,wesleydsg,ela alterna,2026-03-08 19:17:18,0,False,False,,,11
1480328570105499871,wesleydsg,a campanha do Carlos é curtinha se vc passar correndo,2026-03-08 19:17:14,0,False,False,,,53
1480328560886419628,haniel.,ou alterna?,2026-03-08 19:17:12,0,False,False,,,11
1480328551239520306,haniel.,é assim tbm,2026-03-08 19:17:09,0,False,False,,,11
1480328541005549678,haniel.,isso,2026-03-08 19:17:07,0,False,False,,,4
1480328525482299635,wesleydsg,kkkkkkkk,2026-03-08 19:17:03,0,False,False,,,8
1480328519509872742,wesleydsg,Carlao da massa,2026-03-08 19:17:02,0,False,False,,,15
1480328492888625235,wesleydsg,alternando,2026-03-08 19:16:55,0,False,False,,,10
1480328492263674111,haniel.,jill e o mano brasileiro la,2026-03-08 19:16:55,0,False,False,,,27
1480328476429914192,wesleydsg,seria maneiro porem teria muito muito bgl,2026-03-08 19:16:51,0,False,False,,,41
1480328458654712063,haniel.,e o 3?,2026-03-08 19:16:47,0,False,False,,,6
1480328453520756808,haniel.,no que loucura,2026-03-08 19:16:46,0,False,False,,,14
1480328441688621348,haniel.,pdcre,2026-03-08 19:16:43,0,False,False,,,5
1480328407794585701,wesleydsg,ele n alterna n,2026-03-08 19:16:35,0,False,False,,,15
1480328401578361035,haniel.,requiem n,2026-03-08 19:16:34,0,False,False,,,9
1480328357064474675,haniel.,que mudava,2026-03-08 19:16:23,0,False,False,,,10
1480328349455745136,wesleydsg,nnn,2026-03-08 19:16:21,0,False,False,,,3
1480328336604528763,haniel.,tinha tp o requiem,2026-03-08 19:16:18,0,False,False,,,18
1480328330355146762,wesleydsg,ou abertas,2026-03-08 19:16:17,0,False,False,,,10
1480328321987379402,wesleydsg,tipo areas trancadas,2026-03-08 19:16:15,0,False,False,,,20
1480328303683305555,haniel.,que,2026-03-08 19:16:10,0,False,False,,,3
1480328301015728259,haniel.,pensava,2026-03-08 19:16:10,0,False,False,,,7
1480328289913536614,wesleydsg,"e ai algumas coisas tem pra um, e pra outro n",2026-03-08 19:16:07,0,False,False,,,45
1480328253829808331,wesleydsg,ent vc ve 2 perspectivas,2026-03-08 19:15:58,0,False,False,,,24
1480328235307761864,haniel.,QUE,2026-03-08 19:15:54,0,False,False,,,3
1480328221877735505,haniel.,acho que eu lembro,2026-03-08 19:15:51,0,False,False,,,18
1480328198842617926,wesleydsg,vc zera o jogo cada hora com 1 deles,2026-03-08 19:15:45,0,False,False,,,36
1480328197332795492,haniel.,muda metade do jogo ne?,2026-03-08 19:15:45,0,False,False,,,23
1480328181709013258,haniel.,no,2026-03-08 19:15:41,0,False,False,,,2
1480328149916188934,wesleydsg,muda bastante coisa po,2026-03-08 19:15:34,0,False,True,haniel.,1.4803281037618056e+18,22
1480328119444439050,wesleydsg,Leon é muito chad,2026-03-08 19:15:26,0,False,False,,,17
1480328103761805452,haniel.,e isso muda só o inicio do game?,2026-03-08 19:15:23,0,False,False,,,32
1480328080370176063,wesleydsg,cara,2026-03-08 19:15:17,0,False,False,,,4
1480328079418331368,haniel.,tendi,2026-03-08 19:15:17,0,False,False,,,5
1480328070039601312,haniel.,primeiro?,2026-03-08 19:15:15,0,False,False,,,9
1480328062133473401,wesleydsg,mas vc escolhe qual vai pegar primeiro,2026-03-08 19:15:13,0,False,False,,,38
1480328062083268639,haniel.,quem eu vou jogar,2026-03-08 19:15:13,0,False,False,,,17
1480328050926424186,haniel.,mas eu escolho,2026-03-08 19:15:10,0,False,False,,,14
1480328039199146015,haniel.,ata,2026-03-08 19:15:07,0,False,False,,,3
1480328020182040598,wesleydsg,vc ve as 2 perspectiva,2026-03-08 19:15:03,0,False,False,,,22
1480328019640848615,haniel.,UE,2026-03-08 19:15:03,0,False,False,,,2
1480328002700054528,wesleydsg,aham,2026-03-08 19:14:59,0,False,False,,,4
1480327989655765235,haniel.,pensava que era os 2,2026-03-08 19:14:55,0,False,False,,,20
1480327974619316267,haniel.,uai mas tem que escolher qual historia eu jogo?,2026-03-08 19:14:52,0,False,False,,,47
1480327953555656857,wesleydsg,KKKKKKKKKKKKK,2026-03-08 19:14:47,0,False,False,,,13
1480327945565372700,wesleydsg,as skin da lara peituda quadradona,2026-03-08 19:14:45,0,False,False,,,34
1480327943854096544,haniel.,MT FODAKKKKKKKKKKKKKK,2026-03-08 19:14:44,0,False,False,,,21
1480327921225957417,wesleydsg,no tomb raider tem isso tbm,2026-03-08 19:14:39,0,False,False,,,27
1480327898547097773,wesleydsg,mto foda ne,2026-03-08 19:14:34,0,False,False,,,11
1480327889932255397,wesleydsg,SIM,2026-03-08 19:14:32,0,False,False,,,3
1480327885096226816,wesleydsg,KKKKKKKKKKKKKKKKKKKKKKKKKKKK,2026-03-08 19:14:30,0,False,False,,,28
1480327861247148284,haniel.,[IMAGEM: image.png],2026-03-08 19:14:25,0,True,False,,,0
1480327858885759066,haniel.,UOU,2026-03-08 19:14:24,0,False,False,,,3
1480327832747114719,wesleydsg,diga,2026-03-08 19:14:18,0,False,True,haniel.,1.4803277877169357e+18,4
1480327789499650172,wesleydsg,tomei uns 2 ou 3 susto so,2026-03-08 19:14:08,0,False,False,,,25
1480327787716935724,haniel.,man,2026-03-08 19:14:07,0,False,False,,,3
1480327753386557572,wesleydsg,joguei so o comecinho pra testar,2026-03-08 19:13:59,0,False,False,,,32
1480327723934289972,wesleydsg,estou esperando,2026-03-08 19:13:52,0,False,False,,,15
1480327694230224997,wesleydsg,quando q vc ta podendo ver gameplays em,2026-03-08 19:13:45,0,False,True,amorsurreal.,1.4803265222870305e+18,39
1480326588968079402,amorsurreal.,"assisto, claro",2026-03-08 19:09:21,0,False,True,haniel.,1.4803187610799352e+18,14
1480326522287030434,amorsurreal.,niceee,2026-03-08 19:09:06,0,False,True,wesleydsg,1.4803213438273454e+18,6
1480326439298400418,haniel.,slk,2026-03-08 19:08:46,0,False,False,,,3
1480326435389571193,haniel.,foda,2026-03-08 19:08:45,0,False,False,,,4
1480326431975411722,haniel.,mt,2026-03-08 19:08:44,0,False,False,,,2
1480324644333686887,wesleydsg,mas os outros RE ta aqui as contas e provavelmente é so pedir pra ele autorizar tbm,2026-03-08 19:01:38,0,False,False,,,83
1480324551232717003,wesleydsg,"o Requiem eu ja entrei, ent se eu pedir pra entrar dnv é sus maximo se pa",2026-03-08 19:01:16,0,False,False,,,73
1480324398308130887,wesleydsg,na real n sei como ele descobre q n sou eu ne,2026-03-08 19:00:39,0,False,False,,,45
1480324301331890216,wesleydsg,o caba tem q autorizar a entrada na steam,2026-03-08 19:00:16,0,False,False,,,41
1480324261221765151,wesleydsg,da n,2026-03-08 19:00:06,0,False,False,,,4
1480322423802036319,haniel.,passar a conta e eu ter acesso aos resident?,2026-03-08 18:52:48,0,False,False,,,44
1480322377429553364,haniel.,tp,2026-03-08 18:52:37,0,False,False,,,2
1480322372861952051,haniel.,da pra fazer isso?,2026-03-08 18:52:36,0,False,False,,,18
1480322194801295412,haniel.,hehe,2026-03-08 18:51:54,0,False,False,,,4
1480322188921012477,haniel.,passa a conta ai bb,2026-03-08 18:51:52,0,False,False,,,19
1480322135552692274,haniel.,slk,2026-03-08 18:51:40,0,False,False,,,3
1480322131714904268,haniel.,que foda,2026-03-08 18:51:39,0,False,False,,,8
1480322128308863016,haniel.,caralho,2026-03-08 18:51:38,0,False,False,,,7
1480321713932603655,wesleydsg,mas daora dms,2026-03-08 18:49:59,0,False,False,,,13
1480321705405710449,wesleydsg,"msm q meio fodase, uma vez q tem todos pirata",2026-03-08 18:49:57,0,False,False,,,45
1480321647067140187,wesleydsg,e o cara ainda passou 1 conta pra todos os outros RE do 0 até o village,2026-03-08 18:49:43,0,False,False,,,71
1480321533053243527,wesleydsg,"cara, daora q eu comprei por 30 a conta com o RE9 requiem",2026-03-08 18:49:16,0,False,True,haniel.,1.4803194227815875e+18,57
1480321372063531089,wesleydsg,q delicinha,2026-03-08 18:48:38,0,False,False,,,11
1480321357060505610,wesleydsg,slc,2026-03-08 18:48:34,0,False,False,,,3
1480321351632818226,wesleydsg,mdsmdmdmfwm,2026-03-08 18:48:33,0,False,False,,,11
1480321345978896557,wesleydsg,mds,2026-03-08 18:48:31,0,False,False,,,3
1480321343827345509,wesleydsg,"eu subi quase tudo pro medio, tirei um bgl de efeito de luz, q é muito foda porem foi necessario, e to conseguindo compartilhar tela ainda",2026-03-08 18:48:31,0,False,False,,,138
1480321221739679825,wesleydsg,eu startei e o jogo me meteu as config tudo no baixo,2026-03-08 18:48:02,0,False,False,,,52
1480321153032654910,wesleydsg,krl <@395698445924433931>,2026-03-08 18:47:45,0,False,True,daniilago,,25
1480321116022243378,wesleydsg,dmr dmr,2026-03-08 18:47:37,0,False,False,,,7
1480319579606618307,haniel.,talvez eu jogue um pouco pra pegar a games,2026-03-08 18:41:30,0,False,False,,,42
1480319549067886654,haniel.,"vão ver, se der hj falo",2026-03-08 18:41:23,0,False,False,,,23
1480319487050907648,haniel.,estou baixando,2026-03-08 18:41:08,0,False,False,,,14
1480319422781587519,haniel.,gostei,2026-03-08 18:40:53,0,False,False,,,6
1480319232674762913,wesleydsg,eu assistiria,2026-03-08 18:40:08,0,False,True,haniel.,1.4803187610799352e+18,13
1480319143780810834,wesleydsg,na dificuldade base os zumbi ja sao o satanas,2026-03-08 18:39:46,0,False,False,,,45
1480319088193699893,wesleydsg,porem n recomendo jogar no dificil n,2026-03-08 18:39:33,0,False,False,,,36
1480319067356397862,wesleydsg,o re2 rmk é pika,2026-03-08 18:39:28,0,False,False,,,16
1480319036775465102,wesleydsg,slc,2026-03-08 18:39:21,0,False,False,,,3
1480319031012626472,wesleydsg,mto forte,2026-03-08 18:39:19,0,False,False,,,9
1480319022070239312,wesleydsg,CARA,2026-03-08 18:39:17,0,False,False,,,4
1480318801726800074,haniel.,mas játão no requiem,2026-03-08 18:38:25,0,False,False,,,20
1480318761079935148,haniel.,meveriam jogar  re2 remake,2026-03-08 18:38:15,0,False,False,,,26
1480318725235150998,haniel.,meu amigões,2026-03-08 18:38:07,0,False,False,,,11
1480318715365949653,haniel.,ia perguntar se vcs,2026-03-08 18:38:04,0,False,False,,,19
1480318667311939707,haniel.,slk,2026-03-08 18:37:53,0,False,True,wesleydsg,1.4802945584442941e+18,3
1480310392642076762,amorsurreal.,"hoje tem live então, eu espero",2026-03-08 18:05:00,0,False,False,,,30
1480310337793429758,amorsurreal.,"taaaa, legal",2026-03-08 18:04:47,0,False,False,,,12
1480307931592265841,wesleydsg,simsimsim,2026-03-08 17:55:13,0,False,False,,,9
1480307920993517669,wesleydsg,32992359703207943890483,2026-03-08 17:55:11,0,False,False,,,23
1480307912722354337,wesleydsg,KKKKKKKKKKKK,2026-03-08 17:55:09,0,False,False,,,12
1480300646916821163,amorsurreal.,agora que vi a conta kkkk,2026-03-08 17:26:16,0,False,False,,,25
1480300539332792494,amorsurreal.,"oloko, como??",2026-03-08 17:25:51,0,False,False,,,13
1480300046749798480,wesleydsg,ta pago,2026-03-08 17:23:53,0,False,False,,,7
1480300040097628190,wesleydsg,30 conto,2026-03-08 17:23:52,0,False,False,,,8
1480300029385379971,wesleydsg,q foda ata,2026-03-08 17:23:49,0,False,False,,,10
1480298177440518337,amorsurreal.,aí sim,2026-03-08 17:16:28,0,False,False,,,6
1480298154187559123,amorsurreal.,oloooko,2026-03-08 17:16:22,0,False,False,,,7
1480294585774248169,wesleydsg,q ideia genial,2026-03-08 17:02:11,0,False,False,,,14
1480294570406445188,wesleydsg,<@321437043135873024> Deus lhe pague,2026-03-08 17:02:08,0,False,True,davijannotti,,36
1480294558444294257,wesleydsg,[IMAGEM: image.png],2026-03-08 17:02:05,0,True,False,,,0
1480294542954598522,wesleydsg,ja toma,2026-03-08 17:02:01,0,False,False,,,7
1477352521612791858,daniilago,ta em casa wesker?,2026-02-28 14:11:29,0,False,False,,,18
1477352482572337216,wesleydsg,KKKKKKKKK,2026-02-28 14:11:19,0,False,False,,,9
1477352474263421031,wesleydsg,So fui ver agr,2026-02-28 14:11:17,0,False,False,,,14
1477352464037445793,wesleydsg,Pena q eu esqueci q eu perguntei,2026-02-28 14:11:15,0,False,False,,,32
1477352440360861706,wesleydsg,Gostei,2026-02-28 14:11:09,0,False,False,,,6
1477352432618049556,wesleydsg,Oloco,2026-02-28 14:11:07,0,False,False,,,5
1477317596683436204,davijannotti,mas pode ser oq vc quiser meu querido,2026-02-28 11:52:42,0,False,False,,,37
1477317564001554442,davijannotti,overwatch,2026-02-28 11:52:34,0,False,False,,,9
1477317552064692446,davijannotti,muita assistição,2026-02-28 11:52:31,0,False,False,,,16
1477317396216942623,wesleydsg,<@321437043135873024> <@516666578557730849> q q ta tendo de bao ai,2026-02-28 11:51:54,0,False,True,"davijannotti,vinilicia",,66
1475604322552250541,vinilicia,desejei boa noite kkkkkkkkkkkk,2026-02-23 18:24:45,1,False,True,wesleydsg,1.4752783721698468e+18,30
1475527447335141559,elverton,bora,2026-02-23 13:19:17,0,False,True,wesleydsg,1.4741043090075197e+18,4
1475278372169846784,wesleydsg,eu sai com vc falando algo,2026-02-22 20:49:33,0,False,False,,,26
1475278353803251752,wesleydsg,qq vc falou?,2026-02-22 20:49:28,0,False,False,,,12
1475278338888302672,wesleydsg,<@516666578557730849> AAAAAAA,2026-02-22 20:49:25,0,False,True,vinilicia,,29
1474495252134887540,daniilago,<@516666578557730849> come back 1-1,2026-02-20 16:57:42,2,False,True,vinilicia,,35
1474489477127999551,daniilago,vinyyy,2026-02-20 16:34:46,0,False,False,,,6
1474488391335674049,daniilago,[IMAGEM: image.png],2026-02-20 16:30:27,2,True,False,,,0
1474190394043404380,wesleydsg,um pummel party,2026-02-19 20:46:19,0,False,False,,,15
1474190256449523887,wesleydsg,ou n sei q outro jogo tem de bao,2026-02-19 20:45:46,0,False,False,,,32
1474190216171622561,wesleydsg,um repinho,2026-02-19 20:45:36,0,False,False,,,10
1474190188501536890,wesleydsg,mas assim,2026-02-19 20:45:30,0,False,False,,,9
1474190177273385032,wesleydsg,pena q o Daniel é viado e n responde ne,2026-02-19 20:45:27,0,False,False,,,39
1474173500032815265,bolinouli,parece interessante hein,2026-02-19 19:39:11,0,False,False,,,24
1474173477929095343,bolinouli,hmmmmm,2026-02-19 19:39:05,0,False,False,,,6
1474167181662097499,carrocho,😔 👢,2026-02-19 19:14:04,0,False,True,haniel.,1.4741669982075617e+18,3
1474167005224374492,haniel.,broa,2026-02-19 19:13:22,0,False,False,,,4
1474166998207561779,haniel.,uai bota,2026-02-19 19:13:21,0,False,False,,,8
1474106689488687269,pdrohd,!!!!!!,2026-02-19 15:13:42,0,False,True,wesleydsg,1.4741043090075197e+18,6
1474104400417915036,wesleydsg,"tipo, com as 20 unidades de pessoas no server",2026-02-19 15:04:36,0,False,False,,,45
1474104309007519775,wesleydsg,ta podendo ter gameplay de algo antes de acabar as ferias?,2026-02-19 15:04:14,1,False,False,,,58
1474104256792494292,wesleydsg,@everyone eae gajos,2026-02-19 15:04:02,0,False,False,,,19
1473392312481747137,pdrohd,https://tenor.com/view/hatsune-miku-miku-hatsune-miku-angry-not-happy-gif-10473291184535189680,2026-02-17 15:55:01,0,False,False,,,94
